,ID,Name,Address,IsNetObject,TypeObject,is_actual
4970,375250,Бар «Золотой колос»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Тёплый Стан, дом 1А",,бар,True
2401,375192,Пивняша,"город Москва, Левобережная улица, дом 4, корпус 16",нет,бар,True
2886,374801,Шаровня,"город Москва, Белозерская улица, дом 17Г",,бар,True
6757,374566,Большой куш,"проезд Аэропорта, дом 8",нет,бар,True
2797,374507,Полный Бак,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, улица Коминтерна, дом 15",нет,бар,True
2960,373520,2MAN Lounge BAR,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Россошанский проезд, дом 3",,бар,True
169,373245,Бар-Дак,"город Москва, Полярная улица, дом 27, корпус 3",нет,бар,True
9059,371197,Sense bar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Волгоградский проспект, дом 32/3, корпус 5",нет,бар,True
5908,370987,THE СОК,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 18, строение 1",,бар,True
850,369745,Бар Бульдог,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, Октябрьская улица, дом 35",,бар,True
7962,369045,Дюплекс 2.0 Бар Ресторан,"Сокольническая площадь, дом 9, помещение 102П",нет,бар,True
6654,368952,Кальянная Mist Lounge,"город Москва, Пролетарский проспект, дом 24Б",нет,бар,True
9991,367273,Соседи Гастро Бар,"город Москва, Новодмитровская улица, дом 2, корпус 4",,бар,True
9594,367270,Рябов Лофт,"город Москва, Холодильный переулок, дом 3, корпус 1, строение 8",нет,бар,True
4179,367073,BEERкин,"Российская Федерация, город Москва, внутригородская территория поселение Сосенское, улица Эдварда Грига, дом 15",нет,бар,True
2889,365140,СИНЕМАСТАР,"город Москва, проспект Вернадского, дом 86А",нет,бар,True
2700,365077,Бар «ARLEY HALL Lounge»,"город Москва, Кировоградская улица, дом 9, корпус 1",нет,бар,True
6222,360249,У густа,"город Москва, Беговая аллея, дом 5, корпус 1",нет,бар,True
8981,359980,Крафтира,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Василевского, дом 17",,бар,True
8139,359669,Мята Cyber,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Карманицкий переулок, дом 9",нет,бар,True
1346,359585,СокиФреши,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Хабаровская улица, дом 15",нет,бар,True
